AAK1	Q2M2I8	SerThr	Other
ABL1	P00519	Tyr	TK
ABL2	P42684	Tyr	TK
ACVR1B	P36896	SerThr	TKL
ACVR1	Q04771	SerThr	TKL
ACVR2A	P27037	SerThr	TKL
ACVR2B	Q13705	SerThr	TKL
ACVRL1	P37023	SerThr	TKL
AKT1	P31749	SerThr	AGC
AKT2	P31751	SerThr	AGC
AKT3	Q9Y243	SerThr	AGC
ALK	Q9UM73	Tyr	TK
ALPK1	Q96QP1	SerThr	CMGC
ALPK2	Q86TB3	SerThr	CMGC
ALPK3	Q96L96	SerThr	CMGC
AMHR2	Q16671	SerThr	TKL
ARAF	P10398	SerThr	TKL
ATM	Q13315	SerThr	Atypical
ATR	Q13535	SerThr	Atypical
AURKA	O14965	SerThr	Other
AURKB	Q96GD4	SerThr	Other
AURKC	Q9UQB9	SerThr	Other
AXL	P30530	Tyr	TK
BCKDK	O14874	SerThr	Atypical
BLK	P51451	Tyr	TK
BMP2K	Q9NSY1	SerThr	Other
BMPR1A	P36894	SerThr	TKL
BMPR1B	O00238	SerThr	TKL
BMPR2	Q13873	SerThr	TKL
BMX	P51813	Tyr	TK
BRAF	P15056	SerThr	TKL
BRSK1	Q8TDC3	SerThr	CAMK
BRSK2	Q8IWQ3	SerThr	CAMK
BTK	Q06187	Tyr	TK
BUB1	O43683	SerThr	Other
CAMK1D	Q8IU85	SerThr	CAMK
CAMK1G	Q96NX5	SerThr	CAMK
CAMK1	Q14012	SerThr	CAMK
CAMK2A	Q9UQM7	SerThr	CAMK
CAMK2B	Q13554	SerThr	CAMK
CAMK2D	Q13557	SerThr	CAMK
CAMK2G	Q13555	SerThr	CAMK
CAMK4	Q16566	SerThr	CAMK
CAMKK1	Q8N5S9	SerThr	CAMK
CAMKK2	Q96RR4	SerThr	CAMK
CDC42BPA	Q5VT25	SerThr	AGC
CDC42BPB	Q9Y5S2	SerThr	AGC
CDC42BPG	Q6DT37	SerThr	AGC
CDC7	O00311	SerThr	Other
CDK10	Q15131	SerThr	CMGC
CDK11A	Q9UQ88	SerThr	CMGC
CDK12	Q9NYV4	SerThr	CMGC
CDK13	Q14004	SerThr	CMGC
CDK14	O94921	SerThr	CMGC
CDK15	Q96Q40	SerThr	CMGC
CDK16	Q00536	SerThr	CMGC
CDK17	Q00537	SerThr	CMGC
CDK18	Q07002	SerThr	CMGC
CDK19	Q9BWU1	SerThr	CMGC
CDK1	P06493	SerThr	CMGC
CDK20	Q8IZL9	SerThr	CMGC
CDK2	P24941	SerThr	CMGC
CDK3	Q00526	SerThr	CMGC
CDK4	P11802	SerThr	CMGC
CDK5	Q00535	SerThr	CMGC
CDK6	Q00534	SerThr	CMGC
CDK7	P50613	SerThr	CMGC
CDK8	P49336	SerThr	CMGC
CDK9	P50750	SerThr	CMGC
CDKL1	Q00532	SerThr	CMGC
CDKL5	O76039	SerThr	CMGC
CHEK1	O14757	SerThr	CAMK
CHEK2	O96017	SerThr	CAMK
CHUK	O15111	SerThr	Other
CILK1	""	SerThr	CMGC
CIT	O14578	SerThr	AGC
CLK1	P49759	SerThr	CMGC
CLK2	P49760	SerThr	CMGC
CLK3	P49761	SerThr	CMGC
CLK4	Q9HAZ1	SerThr	CMGC
CSF1R	P07333	Tyr	TK
CSK	P41240	Tyr	TK
CSNK1A1L	Q8N752	SerThr	CK1
CSNK1A1	P48729	SerThr	CK1
CSNK1D	P48730	SerThr	CK1
CSNK1E	P49674	SerThr	CK1
CSNK1G1	Q9HCP0	SerThr	CK1
CSNK1G2	P78368	SerThr	CK1
CSNK1G3	Q9Y6M4	SerThr	CK1
CSNK2A1	P68400	SerThr	CMGC
CSNK2A2	P19784	SerThr	CMGC
DAPK1	P53355	SerThr	CAMK
DAPK2	Q9UIK4	SerThr	CAMK
DAPK3	O43293	SerThr	CAMK
DCLK1	O15075	SerThr	CAMK
DCLK2	Q8N568	SerThr	CAMK
DDR1	Q08345	Tyr	TK
DDR2	Q16832	Tyr	TK
DMPK	Q09013	SerThr	
DYRK1A	Q13627	SerThr	CMGC
DYRK1B	Q9Y463	SerThr	CMGC
DYRK2	Q92630	SerThr	CMGC
DYRK3	O43781	SerThr	CMGC
DYRK4	Q9NR20	SerThr	CMGC
EEF2K	O00418	SerThr	Atypical
EGFR	P00533	Tyr	TK
EIF2AK1	Q9BQI3	SerThr	Other
EIF2AK2	P19525	SerThr	Other
EIF2AK3	Q9NZJ5	SerThr	Other
EIF2AK4	Q9P2K8	SerThr	Other
EPHA1	P21709	Tyr	TK
EPHA2	P29317	Tyr	TK
EPHA3	P29320	Tyr	TK
EPHA4	P54764	Tyr	TK
EPHA5	P54756	Tyr	TK
EPHA6	Q9UF33	Tyr	TK
EPHA7	Q15375	Tyr	TK
EPHA8	P29322	Tyr	TK
EPHB1	P54762	Tyr	TK
EPHB2	P29323	Tyr	TK
EPHB3	P54753	Tyr	TK
EPHB4	P54760	Tyr	TK
ERBB2	P04626	Tyr	TK
